"File Number","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"13","0.3560901128082122","0.24403050972809703","0.09595052747530367","0.11165375105118791","0.0870947036652941","0.05151475532953146","0.025778021690347742","0.01199512562431664","0.00549357950041419","0.002541239449844979","0.0012319150746727126","0.000666955407761832","0.00043996858891572185","0.00038352732480043876","0.00045241123546761026","0.0007379530184607198","0.001009290410134215","0.0012587848847453419","0.001162833065179502","0.0004800253164302926","3.4009350882218537e-05"
"14","0.32566136561175935","0.24737277832482138","0.11490761304447289","0.11859912026578462","0.08698979527229007","0.0510277055508878","0.025996428071896543","0.01223797695479066","0.005667942116890474","0.002727596994783705","0.0014202924978151757","0.0008417938610146236","0.0005965674847615044","0.000498808514404657","0.0005150330402779419","0.0006528054095696924","0.0008561705240269941","0.0010389117070365467","0.0009637831826861542","0.0010518593770438224","0.00037565219298516244"
"15","0.3030872107659832","0.23476705181127402","0.11747305111077645","0.1272389061543351","0.0951472538003892","0.05642422341011895","0.029316540594715532","0.014518858337707732","0.00722507849295148","0.0037837484022114295","0.0021494785800313127","0.0013944566538832506","0.0009183925500089924","0.0006675630855610366","0.000616896897523541","0.000718758266012134","0.0008952704715443276","0.001067871776698111","0.001010828498648659","0.0008957634588576317","0.0006827968807669703"
"16","0.16527780172749565","0.2235112970371741","0.04620558437546382","0.0944208983423807","0.12792060253591514","0.12574788009084634","0.09611758161204141","0.06059353346564998","0.03306117945986924","0.016103790628785475","0.0070691238092487375","0.0027558058023730418","0.0009162746255896051","0.00024456082690115107","4.7683974500493705e-05","5.9583580773204655e-06","4.2662249321891194e-07","1.637634724648213e-08","3.2588776110895255e-10","2.951607521596833e-12","7.549435245403024e-15"
"17","0.28551209651112713","0.2181296321810789","0.10277511182883058","0.10926435936943708","0.0917267200346087","0.06578093007921099","0.042743297278540704","0.026359924253900723","0.01600641544126927","0.009857233051530115","0.006318650998494162","0.004327922467197765","0.003253290868721916","0.002746727161862203","0.002619976086996452","0.0027431726692803437","0.0029406370513333723","0.002898689057048913","0.002324202480619561","0.0012958326129238402","0.00037517851598798573"
"18","0.24341268233309563","0.19177007072358243","0.10268611164753619","0.13959253111100536","0.12545205884576113","0.08350521748968996","0.04572161295128674","0.022837317514539098","0.011395091145469341","0.006077676190348011","0.0036814081523933078","0.002689274880854289","0.002407758758637174","0.00257969060831767","0.003070367442163225","0.0036369556813503744","0.003926954875772115","0.0033199679549186876","0.001828388261945957","0.00038990257388893705","1.8960857445793456e-05"
"19","0.2861041262532393","0.21794360360026077","0.08492648426164438","0.11906853464052745","0.11091878882123463","0.07711755530036912","0.04417502158477173","0.02277667030929547","0.011410425465038213","0.005913938537684942","0.0033610600348016706","0.0022119614850950515","0.0017095280745833396","0.00151501744424644","0.001531182449669671","0.0017571151505503262","0.0021505581481332777","0.0024106601953605977","0.0021283054554829413","0.0008442086270958268","2.5254160916260127e-05"
"20","0.24297466538962262","0.20122215579655298","0.11387595436568612","0.1390778985206861","0.11902098237024523","0.08072457269544848","0.046861412559270135","0.02444332538562158","0.011935209959225743","0.0057318651686003395","0.0028462606521875156","0.0015491180304557674","0.0009704295846044817","0.000712922694279123","0.0005850298741872681","0.0005177236540229615","0.0005193324329675801","0.0006484170355736134","0.0010095446294181494","0.0019183932197969571","0.0028547859815464386"
"21","0.14255274938278745","0.1512718899630361","0.03434312767674322","0.07375422550964007","0.11080506090608028","0.12655373109565396","0.11681474163264928","0.09158207950252237","0.06354177374546932","0.04023828446828763","0.02365841263802873","0.012986690794065283","0.006681416811064192","0.0032055349940755956","0.0013742623075539324","0.00048382480959559954","0.00012706914377639267","2.2630795615056684e-05","2.3767329498122064e-06","1.1540287780380292e-07","1.687527079885826e-09"
"22","0.01959126049815528","0.0769294822583454","0.021334959343838143","0.056743797456159276","0.10280959496940191","0.13885803010275027","0.14917660353104567","0.13406828805154708","0.10510988568753142","0.07451908551672559","0.049234071688636916","0.031006388377787422","0.01888306634024443","0.011118629529142521","0.006139073609109879","0.0029665703607792628","0.0011404045324177033","0.000314142528083307","5.2772021304201366e-05","3.8009810328890487e-06","9.261596286416829e-08"
"23","0.008530056222160685","0.09690260860676778","0.023566063383076034","0.06446284708777154","0.11676345119869054","0.1534273915849867","0.15663730454672567","0.13184576140893348","0.09673155444179653","0.06485588757270272","0.040829743873237685","0.02400506508118004","0.012708951710548687","0.005801997422568124","0.0021790549333617817","0.0006201850610560503","0.0001182399174149332","1.3122267425633307e-05","6.980861452073422e-07","1.5467811396878782e-08","1.2563829450422162e-10"
"24","0.017321758511665068","0.13733812552609687","0.027284035560193015","0.06629680092957846","0.11288621328451723","0.14572875489164028","0.14997326495916716","0.12810521330052652","0.09395374926581414","0.06039039037663359","0.034057018846407786","0.016587543890859105","0.0068604630681433215","0.0023813246691247493","0.0006724634445172315","0.00014165412859691408","1.958029810397675e-05","1.5739943564268853e-06","6.960258540523517e-08","1.4410493774472276e-09","1.043054642604762e-11"
"25","0.20870924664014687","0.23372839633093392","0.042890561233223545","0.07565271259003173","0.09415687647544418","0.09116679870101532","0.07391123712007844","0.05319260366730744","0.035625851018383246","0.02308106448579197","0.01493747774195434","0.009925139477286375","0.00693826467221827","0.0052186351557175015","0.004303045593340819","0.003939280935430466","0.0040250396821531415","0.004525194348843785","0.005257841784107452","0.005412014908774595","0.0034027174378162797"
