Exponent,Support,Constraints,Power Divergence,Dataset
0.5,0.05,0.0,0.49902943725623294,55
0.5,0.043,1.0,15.631028249630791,29
0.5,0.043,0.0,48.12786443990029,32
0.5,0.017,62.0,0.4178260117484927,58
0.5,0.017,61.0,2.6521847709847504,54
0.5,0.035,1.0,6.8836204499626445,33
0.5,0.046,0.0,1.0636599528693331,60
0.5,0.043,0.0,0.7935214294976999,53
0.5,0.046,0.0,4.496204869371876,34
0.5,0.046,0.0,29.38423926891531,26
0.5,0.039,0.0,5.324458846279419,35
0.5,0.046,0.0,16.197019986698887,27
0.63,0.025,0.0,0.8819427440649711,44
0.63,0.03,0.0,0.8028569288775572,45
0.63,0.027000000000000003,0.0,0.6614154050251907,60
0.63,0.03,0.0,0.4044315143831681,58
0.63,0.03,0.0,0.4351176980267529,59
0.63,0.03,3.0,0.6646544133945392,51
0.63,0.027000000000000003,0.0,0.5511096380056173,57
0.63,0.03,0.0,0.4867866814295424,47
0.63,0.03,0.0,0.2960710265620045,55
0.63,0.009000000000000001,38.0,0.5009678582592401,48
0.63,0.009000000000000001,60.0,1.7136035158719956,54
0.63,0.022000000000000002,1.0,0.4437783141778609,49
0.63,0.027000000000000003,3.0,0.7702781944411836,53
0.63,0.017,59.0,0.4262262347659328,52
0.63,0.03,1.0,0.4970090301882447,50
0.63,0.03,0.0,0.42554039575530506,46
0.63,0.027000000000000003,1.0,2.767150705603572,56
0.63,0.03,5.0,40.15916826831735,43
0.63,0.03,0.0,3.5606232319776137,37
0.63,0.017,46.0,0.557508746895055,31
0.63,0.03,0.0,41.23658956042477,39
0.63,0.03,2.0,5.949661991793035,35
0.63,0.03,0.0,3.5056650446186626,30
0.63,0.03,0.0,4.852836690726614,33
0.63,0.03,0.0,8.303244684483268,40
0.63,0.03,0.0,5.9346796833012165,29
0.63,0.03,1.0,27.375715893388897,38
0.63,0.025,3.0,33.50108178174565,32
0.63,0.019,12.0,4.447194772409,28
0.63,0.022000000000000002,1.0,2.036103063793254,34
0.63,0.03,1.0,12.239199708203854,27
0.63,0.03,1.0,3.6181163360729744,42
0.63,0.03,0.0,0.5271409636682549,36
0.63,0.022000000000000002,1.0,12.182631650020511,26
0.63,0.025,1.0,5.224778571470114,41
0.83,0.017,0.0,0.20836342926221246,52
0.83,0.02,0.0,2.5372966036715545,33
0.83,0.018000000000000002,0.0,0.5016444256639971,60
