Exponent,Support,Constraints,Power Divergence,Dataset
0.5,0.064,22.0,0.5363423482465942,4
0.5,0.073,20.0,1.344316415926077,19
0.5,0.08199999999999999,15.0,0.4544978803118414,5
0.5,0.064,22.0,0.1605125616368141,7
0.5,0.073,12.0,0.5404750993109272,23
0.5,0.091,21.0,0.6887295996050351,18
0.5,0.055,14.0,0.5190059377261254,21
0.5,0.064,20.0,0.9315743741323492,6
0.63,0.037000000000000005,24.0,0.3706785934668006,14
0.63,0.037000000000000005,13.0,0.34303790160119113,21
0.63,0.037000000000000005,21.0,0.2527493958645846,25
0.63,0.064,19.0,0.5819590050982799,18
0.63,0.046,11.0,0.5279584334922214,20
0.63,0.037000000000000005,17.0,0.2734147998671885,23
0.63,0.055,15.0,0.5951937507424048,16
0.63,0.055,17.0,0.9170211097290024,19
0.63,0.055,13.0,0.6450798748329326,24
0.63,0.037000000000000005,22.0,0.2806595061965356,17
0.63,0.1,0.0,0.34121389068932423,15
0.63,0.055,16.0,0.5820517982310461,22
0.63,0.064,17.0,0.7037160055398437,13
0.63,0.046,10.0,0.3501794632201891,4
0.63,0.046,9.0,1.7602102560366706,1
0.63,0.046,14.0,0.2748868141164456,7
0.63,0.046,18.0,0.3606323188139609,12
0.63,0.064,20.0,0.9773769030333602,2
0.63,0.055,10.0,1.086198226784466,6
0.63,0.055,19.0,0.5238704384548334,3
0.63,0.037000000000000005,24.0,0.9224862913138874,11
0.63,0.046,13.0,0.3703185006454955,9
0.63,0.046,15.0,0.5189017814738547,8
0.63,0.055,18.0,0.7053771971637344,10
0.63,0.046,11.0,0.3987127990693881,5
0.83,0.1,0.0,0.3499828804685019,25
0.83,0.019,11.0,0.6102000196636915,6
0.83,0.037000000000000005,1.0,0.3596842959327255,20
0.83,0.019,20.0,0.33792756231261123,5
0.83,0.019,22.0,0.7387190358808319,13
0.83,0.08199999999999999,0.0,0.2690329933793801,4
0.83,0.027999999999999997,9.0,0.3298786702363743,22
0.83,0.073,0.0,0.502121489071764,3
0.83,0.019,14.0,0.3124604672072093,23
0.83,0.027999999999999997,20.0,0.4554461554055199,2
0.83,0.037000000000000005,3.0,0.3672774380747447,24
