,#_diseases,file_num,tot_zeros,zv_nzemp,zv_zemp,nzv_zemp,dataset_num
223,10,4,0,0,0,934,15
224,10,5,0,0,0,923,15
225,4,1,0,0,0,0,16
226,4,2,0,0,0,0,16
227,4,3,1,0,1,0,16
228,4,4,0,0,0,3,16
229,4,5,0,0,0,1,16
230,7,1,0,0,0,0,16
231,7,2,0,0,0,0,16
232,7,3,0,0,0,88,16
233,7,4,0,0,0,30,16
234,7,5,0,0,0,0,16
235,10,1,0,0,0,0,16
236,10,2,0,0,0,0,16
237,10,3,0,0,0,945,16
238,10,4,0,0,0,938,16
239,10,5,0,0,0,915,16
240,4,1,0,0,0,0,17
241,4,2,0,0,0,0,17
242,4,3,2,0,2,2,17
243,4,4,0,0,0,4,17
244,4,5,0,0,0,0,17
245,7,1,0,0,0,0,17
246,7,2,8,0,8,6,17
247,7,3,0,0,0,90,17
248,7,4,0,0,0,7,17
249,7,5,0,0,0,0,17
250,10,1,0,0,0,0,17
251,10,2,0,0,0,0,17
252,10,3,0,0,0,963,17
253,10,4,0,0,0,939,17
254,10,5,0,0,0,937,17
255,4,1,0,0,0,0,18
256,4,2,0,0,0,0,18
257,4,3,2,0,2,2,18
258,4,4,0,0,0,1,18
259,4,5,0,0,0,0,18
260,7,1,0,0,0,0,18
261,7,2,0,0,0,12,18
262,7,3,0,0,0,87,18
263,7,4,46,0,46,39,18
264,7,5,0,0,0,0,18
265,10,1,0,0,0,0,18
266,10,2,0,0,0,0,18
267,10,3,0,0,0,966,18
268,10,4,0,0,0,929,18
269,10,5,0,0,0,911,18
270,4,1,0,0,0,0,19
271,4,2,0,0,0,0,19
272,4,3,0,0,0,3,19
273,4,4,1,0,1,0,19
274,4,5,1,0,1,1,19
275,7,1,0,0,0,0,19
276,7,2,0,0,0,15,19
277,7,3,16,0,16,75,19
278,7,4,24,0,24,57,19
279,7,5,0,0,0,0,19
280,10,1,0,0,0,0,19
281,10,2,0,0,0,0,19
282,10,3,0,0,0,950,19
283,10,4,0,0,0,8,19
284,10,5,0,0,0,188,19
285,4,1,0,0,0,0,20
286,4,2,0,0,0,4,20
287,4,3,5,0,5,0,20
288,4,4,3,0,3,0,20
289,4,5,3,0,3,0,20
290,7,1,0,0,0,0,20
291,7,2,0,0,0,0,20
292,7,3,0,0,0,97,20
293,7,4,0,0,0,80,20
294,7,5,0,0,0,0,20
295,10,1,0,0,0,0,20
296,10,2,0,0,0,0,20
297,10,3,0,0,0,89,20
298,10,4,0,0,0,927,20
299,10,5,0,0,0,914,20
300,4,1,0,0,0,0,21
301,4,2,1,0,1,0,21
302,4,3,3,0,3,0,21
303,4,4,1,0,1,0,21
304,4,5,0,0,0,0,21
305,7,1,0,0,0,0,21
306,7,2,0,0,0,0,21
307,7,3,0,0,0,12,21
308,7,4,0,0,0,82,21
309,7,5,0,0,0,0,21
310,10,1,0,0,0,0,21
311,10,2,0,0,0,0,21
312,10,3,0,0,0,944,21
313,10,4,0,0,0,929,21
314,10,5,0,0,0,920,21
315,4,1,0,0,0,0,22
316,4,2,3,0,3,2,22
317,4,3,0,0,0,1,22
318,4,4,5,0,5,0,22
319,4,5,4,0,4,0,22
320,7,1,0,0,0,0,22
321,7,2,0,0,0,3,22
322,7,3,16,0,16,74,22
323,7,4,0,0,0,84,22
324,7,5,0,0,0,0,22
325,10,1,0,0,0,0,22
326,10,2,0,0,0,0,22
327,10,3,0,0,0,456,22
328,10,4,0,0,0,932,22
329,10,5,0,0,0,914,22
330,4,1,0,0,0,0,23
331,4,2,6,0,6,0,23
332,4,3,1,0,1,0,23
333,4,4,3,0,3,0,23
334,4,5,1,0,1,0,23
335,7,1,0,0,0,0,23
336,7,2,0,0,0,3,23
337,7,3,0,0,0,95,23
338,7,4,0,0,0,87,23
339,7,5,0,0,0,0,23
340,10,1,0,0,0,0,23
341,10,2,0,0,0,0,23
342,10,3,0,0,0,454,23
343,10,4,0,0,0,928,23
344,10,5,0,0,0,911,23
345,4,1,0,0,0,0,24
346,4,2,0,0,0,0,24
347,4,3,3,0,3,1,24
348,4,4,0,0,0,3,24
349,4,5,2,0,2,0,24
350,7,1,0,0,0,0,24
351,7,2,0,0,0,0,24
352,7,3,0,0,0,85,24
353,7,4,0,0,0,81,24
354,7,5,0,0,0,0,24
355,10,1,0,0,0,0,24
356,10,2,0,0,0,32,24
357,10,3,0,0,0,940,24
358,10,4,0,0,0,923,24
359,10,5,0,0,0,917,24
360,4,1,0,0,0,0,25
361,4,2,0,0,0,3,25
362,4,3,0,0,0,2,25
363,4,4,0,0,0,6,25
364,4,5,0,0,0,2,25
365,7,1,0,0,0,0,25
366,7,2,0,0,0,0,25
367,7,3,0,0,0,94,25
368,7,4,0,0,0,31,25
369,7,5,0,0,0,0,25
370,10,1,0,0,0,0,25
371,10,2,0,0,0,0,25
372,10,3,0,0,0,962,25
373,10,4,0,0,0,450,25
374,10,5,0,0,0,917,25
375,4,1,0,0,0,0,26
376,4,2,0,0,0,0,26
377,4,3,0,0,0,2,26
378,4,4,0,0,0,2,26
379,4,5,2,0,2,0,26
380,7,1,0,0,0,0,26
381,7,2,0,0,0,0,26
382,7,3,0,0,0,97,26
383,7,4,16,0,16,72,26
384,7,5,0,0,0,0,26
385,10,1,0,0,0,0,26
386,10,2,0,0,0,2,26
387,10,3,0,0,0,951,26
388,10,4,0,0,0,921,26
389,10,5,128,0,128,793,26
390,4,1,0,0,0,0,27
391,4,2,0,0,0,0,27
392,4,3,0,0,0,3,27
393,4,4,1,0,1,1,27
394,4,5,2,0,2,0,27
395,7,1,0,0,0,0,27
396,7,2,0,0,0,3,27
397,7,3,0,0,0,88,27
398,7,4,16,0,16,70,27
399,7,5,0,0,0,0,27
400,10,1,0,0,0,0,27
401,10,2,0,0,0,0,27
402,10,3,0,0,0,948,27
403,10,4,0,0,0,929,27
404,10,5,0,0,0,918,27
405,4,1,0,0,0,0,28
406,4,2,3,0,3,1,28
407,4,3,0,0,0,2,28
408,4,4,3,0,3,0,28
409,4,5,3,0,3,0,28
