,#_diseases,file_num,tot_zeros,zv_nzemp,zv_zemp,nzv_zemp,dataset_num
223,10,4,975,61,914,20,15
224,10,5,969,74,895,28,15
225,4,1,0,0,0,0,16
226,4,2,0,0,0,0,16
227,4,3,3,2,1,0,16
228,4,4,0,0,0,3,16
229,4,5,0,0,0,1,16
230,7,1,0,0,0,0,16
231,7,2,0,0,0,0,16
232,7,3,98,21,77,11,16
233,7,4,44,14,30,0,16
234,7,5,0,0,0,0,16
235,10,1,0,0,0,0,16
236,10,2,0,0,0,0,16
237,10,3,975,58,917,28,16
238,10,4,962,67,895,43,16
239,10,5,944,84,860,55,16
240,4,1,0,0,0,0,17
241,4,2,0,0,0,0,17
242,4,3,2,0,2,2,17
243,4,4,0,0,0,4,17
244,4,5,0,0,0,0,17
245,7,1,0,0,0,0,17
246,7,2,18,5,13,1,17
247,7,3,107,26,81,9,17
248,7,4,20,14,6,1,17
249,7,5,0,0,0,0,17
250,10,1,0,0,0,0,17
251,10,2,0,0,0,0,17
252,10,3,992,47,945,18,17
253,10,4,972,63,909,30,17
254,10,5,976,65,911,26,17
255,4,1,0,0,0,0,18
256,4,2,0,0,0,0,18
257,4,3,2,0,2,2,18
258,4,4,0,0,0,1,18
259,4,5,0,0,0,0,18
260,7,1,0,0,0,0,18
261,7,2,19,8,11,1,18
262,7,3,88,19,69,18,18
263,7,4,88,5,83,2,18
264,7,5,0,0,0,0,18
265,10,1,0,0,0,0,18
266,10,2,0,0,0,0,18
267,10,3,995,43,952,14,18
268,10,4,972,67,905,24,18
269,10,5,974,89,885,26,18
270,4,1,0,0,0,0,19
271,4,2,0,0,0,0,19
272,4,3,0,0,0,3,19
273,4,4,2,1,1,0,19
274,4,5,1,0,1,1,19
275,7,1,0,0,0,0,19
276,7,2,19,6,13,2,19
277,7,3,98,24,74,17,19
278,7,4,95,23,72,9,19
279,7,5,0,0,0,0,19
280,10,1,0,0,0,0,19
281,10,2,0,0,0,0,19
282,10,3,978,48,930,20,19
283,10,4,22,15,7,1,19
284,10,5,234,52,182,6,19
285,4,1,0,0,0,0,20
286,4,2,0,0,0,4,20
287,4,3,5,0,5,0,20
288,4,4,3,0,3,0,20
289,4,5,3,0,3,0,20
290,7,1,0,0,0,0,20
291,7,2,0,0,0,0,20
292,7,3,108,19,89,8,20
293,7,4,100,28,72,8,20
294,7,5,0,0,0,0,20
295,10,1,0,0,0,0,20
296,10,2,0,0,0,0,20
297,10,3,110,23,87,2,20
298,10,4,972,60,912,15,20
299,10,5,971,81,890,24,20
300,4,1,0,0,0,0,21
301,4,2,1,0,1,0,21
302,4,3,3,0,3,0,21
303,4,4,1,0,1,0,21
