prob_non_robust,prob_robust
6.590640942015119e-11,1.1544766196875575e-05
9.571349008554773e-11,1.658452687825574e-05
4.023478794824546e-12,1.1293471386793173e-06
4.8080674170635484e-12,1.124657462534067e-06
5.2166296375780385e-11,1.7594475504492275e-05
1.1651732483513363e-10,2.5275180712800858e-05
5.823404778676884e-13,3.4936672972015424e-07
4.956888200931687e-13,3.479159651481302e-07
5.24622400063656e-11,1.4876191754649986e-05
8.346620044692054e-11,2.1370255386189532e-05
