prob_non_robust,prob_robust
4.806670123129841e-10,4.0739510500783963e-05
1.9936275690376868e-10,3.679464830988845e-05
4.995123254630578e-10,2.274232799415539e-05
4.391950469108045e-11,8.844434835568854e-05
4.226129277539493e-11,2.609980264331201e-05
4.371174566075191e-12,1.35924294211384e-05
4.206137783397658e-12,4.0111067799171806e-06
2.053408694453099e-10,8.97723248657298e-05
2.005457821925947e-10,2.6491686641231623e-05
8.474420735878316e-11,3.2291333188612307e-05
8.276527413645204e-11,9.52912694797425e-06
1.098942170136615e-11,2.1298653925191105e-05
3.425536218140058e-11,1.3164440907851434e-05
2.754119763211546e-12,5.079895353721289e-06
8.584925808064715e-12,3.1398220017574567e-06
5.137984644252983e-11,2.161844951003048e-05
1.6255462035840097e-10,1.3362102698779494e-05
5.339427487428953e-11,1.2068232127451353e-05
1.6892783226221886e-10,7.459228609567717e-06
7.897545264143697e-11,7.307300618405346e-05
5.2643573942754856e-11,2.1563741215971586e-05
2.8907325793668215e-11,2.2430828110968393e-05
1.9269087950853034e-11,6.619305786141573e-06
1.3360089918292553e-10,6.26018615982141e-05
9.03889652189076e-11,1.847372119523598e-05
2.0277718175183632e-10,4.497716570280035e-05
1.3719084033603094e-10,1.3272698257413601e-05
1.976102779932499e-11,1.7597016642922667e-05
4.2670835970790305e-11,1.0876503583930368e-05
1.8213465526594352e-11,8.383067954270513e-06
3.9329118294722316e-11,5.181473115536656e-06
3.3429261808160875e-11,1.5075416462914258e-05
7.326578382804277e-11,9.317932949394363e-06
1.2776260370047812e-10,1.6809305238832865e-05
2.800129825703174e-10,1.0389628673055537e-05
3.0888979718512805e-11,2.4964832104625753e-05
2.5999269356760994e-11,7.367086796024119e-06
1.130627011675476e-11,7.663320383283328e-06
9.516493094449072e-12,2.2614350528289096e-06
5.225415400875072e-11,2.1387445868861618e-05
4.4640720179081e-11,6.311405155894319e-06
7.931046983608289e-11,1.536610369476463e-05
6.775492893122149e-11,4.534515560193252e-06
7.728958385102697e-12,6.011885769778804e-06
2.1073997735965253e-11,3.7158740284238816e-06
7.123673856091553e-12,2.8640108697991806e-06
1.9423611725531825e-11,1.7702105488611093e-06
1.3074895495506768e-11,5.150400408545072e-06
3.618403360020467e-11,3.183400325119701e-06
4.997067243673922e-11,5.742770210190776e-06
1.382910089871974e-10,3.549536949375444e-06
