index,#_diseases,dataset_num,file_num,kl_div_z,kl_div,js_div_z,js_div,pow_div_z,pow_div
48,4,4,4,0.14271323,0.14271323,0.197871291,0.197871291,0.263164502,0.263164502
49,4,4,5,0.207510155,0.207510155,0.232057122,0.232057122,0.42117721,0.42117721
50,7,4,1,0.136641822,0.136641822,0.185451599,0.185451599,0.285598209,0.285598209
51,7,4,2,0.130053535,0.130053535,0.17861794,0.17861794,0.287720533,0.287720533
52,7,4,3,0.159241575,0.159241575,0.196961213,0.196961213,0.350179463,0.350179463
53,7,4,4,0.217071114,0.217071114,0.227072558,0.227072558,0.506680961,0.506680961
54,7,4,5,0.300199945,0.300199945,0.275688128,0.275688128,0.629795573,0.629795573
55,10,4,1,0.074703849,0.074703849,0.133397604,0.133397604,0.164444345,0.164444345
56,10,4,2,0.162783812,0.162783812,0.19719247,0.19719247,0.363251061,0.363251061
57,10,4,3,0.194267292,0.194267292,0.209698303,0.209698303,0.504655073,0.504655073
58,10,4,4,0.248798559,0.248798559,0.241178525,0.241178525,0.614916483,0.614916483
59,10,4,5,0.252709582,0.252709582,0.239773632,0.239773632,0.637283949,0.637283949
60,4,5,1,0.049728808,0.049728808,0.111221089,0.111221089,0.101670247,0.101670247
61,4,5,2,NaN,0.160879196,0.216600122,0.21659547,0.279601398,0.279528635
62,4,5,3,NaN,0.135182245,0.202044426,0.202012306,0.213026341,0.212965032
63,4,5,4,0.156087968,0.156087968,0.219245167,0.219245167,0.236744779,0.236744779
64,4,5,5,NaN,0.183588961,0.233526375,0.233521838,0.305798701,0.305784754
65,7,5,1,0.078384792,0.078384792,0.140002927,0.140002927,0.164396156,0.164396156
66,7,5,2,0.204823376,0.204823376,0.208188301,0.208188301,0.571977711,0.571977711
67,7,5,3,0.166349059,0.166349059,0.198866646,0.198866646,0.398712799,0.398712799
68,7,5,4,0.195997633,0.195997633,0.21094488,0.21094488,0.488124949,0.488124949
69,7,5,5,0.396991884,0.396991884,0.309225483,0.309225483,0.900061907,0.900061907
70,10,5,1,0.085662596,0.085662596,0.144599988,0.144599988,0.183851321,0.183851321
71,10,5,2,0.164152877,0.164152877,0.197919025,0.197919025,0.364023599,0.364023599
