index,#_diseases,dataset_num,file_num,sup_num,constraints,support,kl_div,js_div,pow_div
9463,16,9,9,8,17,0.0258,0.15463920029236924,0.18258711398668573,0.4068183908784438
9464,16,9,9,9,17,0.0293,0.15463920029236924,0.18258711398668573,0.4068183908784438
9465,16,9,9,10,17,0.0329,0.15463920029236924,0.18258711398668573,0.4068183908784438
9466,16,9,9,11,17,0.0364,0.15463920029236924,0.18258711398668573,0.4068183908784438
9467,16,9,9,12,17,0.04,0.15463920029236924,0.18258711398668573,0.4068183908784438
9468,16,9,10,1,113,0.001,0.4116817547384812,0.24779287493968133,30.572468710260118
9469,16,9,10,2,113,0.0045,0.4116817547384812,0.24779287493968133,30.572468710260118
9470,16,9,10,3,36,0.008,0.31117065560616797,0.21503159237682024,11.757580799698994
9471,16,9,10,4,36,0.0116,0.31117065560616797,0.21503159237682024,11.757580799698994
9472,16,9,10,5,36,0.0151,0.31117065560616797,0.21503159237682024,11.757580799698994
9473,16,9,10,6,20,0.0187,0.2488554072720332,0.21848335670905364,1.0275605179278575
9474,16,9,10,7,20,0.0222,0.2488554072720332,0.21848335670905364,1.0275605179278575
9475,16,9,10,8,17,0.0258,0.1727828132866851,0.1946058701652957,0.4380335942497067
9476,16,9,10,9,17,0.0293,0.1727828132866851,0.1946058701652957,0.4380335942497067
9477,16,9,10,10,17,0.0329,0.1727828132866851,0.1946058701652957,0.4380335942497067
9478,16,9,10,11,17,0.0364,0.1727828132866851,0.1946058701652957,0.4380335942497067
9479,16,9,10,12,17,0.04,0.1727828132866851,0.1946058701652957,0.4380335942497067
9480,18,9,1,1,55,0.001,0.7758834732423214,0.3448107720004594,28.83479738183445
9481,18,9,1,2,55,0.0036,0.7758834732423214,0.3448107720004594,28.83479738183445
9482,18,9,1,3,54,0.0062,0.7046986514182987,0.337291052123722,10.201781491194625
9483,18,9,1,4,54,0.0089,0.7046986514182987,0.337291052123722,10.201781491194625
9484,18,9,1,5,28,0.0115,0.7599716962126957,0.34317071441440733,6.396294148997307
9485,18,9,1,6,28,0.0141,0.7599716962126957,0.34317071441440733,6.396294148997307
9486,18,9,1,7,20,0.0168,0.7304838588384516,0.3340424637720861,5.984025704705761
9487,18,9,1,8,20,0.0194,0.7304838588384516,0.3340424637720861,5.984025704705761
9488,18,9,1,9,20,0.022,0.7304838588384516,0.3340424637720861,5.984025704705761
9489,18,9,1,10,19,0.0247,0.7084308890686095,0.33809626745805693,3.7969259297334665
9490,18,9,1,11,19,0.0273,0.7084308890686095,0.33809626745805693,3.7969259297334665
9491,18,9,1,12,19,0.03,0.7084308890686095,0.33809626745805693,3.7969259297334665
9492,18,9,2,1,132,0.001,0.7093380815347999,0.37571816498172556,3.5240882594268084
9493,18,9,2,2,132,0.0036,0.7093380815347999,0.37571816498172556,3.5240882594268084
9494,18,9,2,3,89,0.0062,0.5799900607111209,0.344606888096725,2.523851973190318
9495,18,9,2,4,89,0.0089,0.5799900607111209,0.344606888096725,2.523851973190318
9496,18,9,2,5,70,0.0115,0.5559806912336113,0.33585957435759495,2.060136775451975
9497,18,9,2,6,70,0.0141,0.5559806912336113,0.33585957435759495,2.060136775451975
9498,18,9,2,7,56,0.0168,0.4456529822452507,0.30467183653496177,1.827602430082797
9499,18,9,2,8,107,0.0194,0.4338947524665547,0.3049507827525071,1.6069377559837252
9500,18,9,2,9,107,0.022,0.4338947524665547,0.3049507827525071,1.6069377559837252
9501,18,9,2,10,66,0.0247,0.4052916025434017,0.2951528864980872,1.594880527296342
9502,18,9,2,11,66,0.0273,0.4052916025434017,0.2951528864980872,1.594880527296342
9503,18,9,2,12,50,0.03,0.43145989401353474,0.30362585329965164,1.5203604887546573
9504,18,9,3,1,107,0.001,0.43641996739197414,0.28773492531991846,6.38048048467676
9505,18,9,3,2,107,0.0036,0.43641996739197414,0.28773492531991846,6.38048048467676
9506,18,9,3,3,48,0.0062,0.30921819352228913,0.2435730212087861,2.925272828557494
9507,18,9,3,4,48,0.0089,0.30921819352228913,0.2435730212087861,2.925272828557494
9508,18,9,3,5,51,0.0115,0.35055175066709626,0.2508269833705459,6.548152659559866
9509,18,9,3,6,51,0.0141,0.35055175066709626,0.2508269833705459,6.548152659559866
9510,18,9,3,7,26,0.0168,0.2744722856384156,0.2373658729429689,0.90229517968223
9511,18,9,3,8,20,0.0194,0.2244361832258967,0.22727802738450414,0.5392237488284611
9512,18,9,3,9,20,0.022,0.2244361832258967,0.22727802738450414,0.5392237488284611
9513,18,9,3,10,19,0.0247,0.22352253987868645,0.22860412293809915,0.5191037268860178
9514,18,9,3,11,19,0.0273,0.22352253987868645,0.22860412293809915,0.5191037268860178
9515,18,9,3,12,19,0.03,0.22352253987868645,0.22860412293809915,0.5191037268860178
9516,18,9,4,1,122,0.001,1.3503545077994132,0.45320657936090847,18.73811055577585
9517,18,9,4,2,122,0.0036,1.3503545077994132,0.45320657936090847,18.73811055577585
9518,18,9,4,3,84,0.0062,1.2319148163990647,0.43388569409177713,15.548105484719871
9519,18,9,4,4,84,0.0089,1.2319148163990647,0.43388569409177713,15.548105484719871
9520,18,9,4,5,72,0.0115,1.0615096598541358,0.4097069008076205,9.138454873884983
9521,18,9,4,6,72,0.0141,1.0615096598541358,0.4097069008076205,9.138454873884983
9522,18,9,4,7,65,0.0168,1.0273145625380844,0.3938883100458189,10.495429923897028
9523,18,9,4,8,55,0.0194,0.992810047483508,0.39578315198139313,7.8736441939126935
9524,18,9,4,9,55,0.022,0.992810047483508,0.39578315198139313,7.8736441939126935
9525,18,9,4,10,84,0.0247,0.7996544568895817,0.35630395042943486,20.37394584922105
9526,18,9,4,11,84,0.0273,0.7996544568895817,0.35630395042943486,20.37394584922105
9527,18,9,4,12,57,0.03,0.8830420634674155,0.36798201881027026,33.13364304307619
9528,18,9,5,1,55,0.001,0.36706742414348237,0.2586867711582199,13.88294055892178
9529,18,9,5,2,55,0.0036,0.36706742414348237,0.2586867711582199,13.88294055892178
9530,18,9,5,3,39,0.0062,0.3525653010231067,0.2565634481138184,2.4743840776979233
9531,18,9,5,4,39,0.0089,0.3525653010231067,0.2565634481138184,2.4743840776979233
9532,18,9,5,5,22,0.0115,0.3062140255067312,0.25042747140381205,1.0274630645745961
9533,18,9,5,6,22,0.0141,0.3062140255067312,0.25042747140381205,1.0274630645745961
